,b,b_se,m
CASH,0.03596878888959243,0.002336831675103935,0.03662779844210351
FLCOX,0.2565584351501511,0.09155548296231587,0.2972392524704177
FSKAX,0.20130351143706318,0.06953646824797487,0.22446193048486518
FXNAX,0.01950538401941469,0.01625042004361715,0.020140755777649844
FTIHX,0.2539199779635612,0.08440939036084916,0.2903042594277139
