,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.00045651111901845773,0.00022356377318033508,0.0005233957546913559,0.00025738944815394756,0.001086111076459542
FLCOX,0.00022356377318033508,0.015855375965102995,0.015625926154884073,0.0012432164594447608,0.016680896887933935
FSKAX,0.0005233957546913559,0.015625926154884073,0.018665863613449747,0.0030269697520577867,0.018880231318218508
FXNAX,0.00025738944815394756,0.0012432164594447608,0.003026969752057787,0.0030504123600704146,0.0033821216881648065
FTIHX,0.0010861110764595419,0.016680896887933946,0.018880231318218508,0.0033821216881648073,0.025477140612244216
