,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.0004702491472512285,0.0002514119110090031,0.0006050708704869065,0.00026710183668707884,0.001180650008011021
FLCOX,0.0002514119110090031,0.019620870183581118,0.0198730283443353,0.0014093060998887613,0.019953360831143782
FSKAX,0.0006050708704869065,0.0198730283443353,0.024437394095391484,0.0035300483686387723,0.023238574481347956
FXNAX,0.00026710183668707884,0.0014093060998887613,0.0035300483686387723,0.0031937731995680244,0.0037084091091510434
FTIHX,0.001180650008011021,0.019953360831143782,0.023238574481347956,0.0037084091091510434,0.0295759924000719
