,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,8.928792812654175e-06,-0.00030702842972029054,-5.5200161954549835e-05,7.652256769439098e-05,-7.2497308632889315e-06
FLCOX,-0.00030702842972029054,0.012431043694312532,0.003963900993310612,-0.0025087875722754143,0.0007943300612841413
FSKAX,-5.5200161954549835e-05,0.003963900993310612,0.003596633589144258,-0.00019312774901980337,0.0008787325523629308
FXNAX,7.652256769439098e-05,-0.0025087875722754143,-0.00019312774901980337,0.0009062701271732549,0.0006891542418264117
FTIHX,-7.2497308632889315e-06,0.0007943300612841413,0.0008787325523629308,0.0006891542418264117,0.003193219987445432
