,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.00014659440545107544,0.00015425763350956838,0.0006050489596156269,0.00036363341527142866,0.0004581104486657883
FLCOX,0.00015425763350956838,0.009675453758269172,0.010290011484418722,0.0027416560917428168,0.009865166658588602
FSKAX,0.0006050489596156269,0.010290011484418722,0.014072586101866473,0.004076028243380513,0.011580541042195034
FXNAX,0.00036363341527142866,0.0027416560917428168,0.004076028243380513,0.0024396496334042135,0.005436770857261654
FTIHX,0.0004581104486657883,0.009865166658588602,0.011580541042195034,0.005436770857261654,0.020314599028038838
