,b,b_se,m
CASH,0.014482411289849765,0.006446039670790786,0.014819401239800412
FLCOX,0.0946458229808816,0.039628010211616715,0.10801875044193499
FSKAX,0.12070240548141152,0.039621589626717135,0.1388686271423909
FXNAX,0.020675125621679107,0.012851418456022657,0.02244859292371082
FTIHX,0.05546930258338666,0.04480410121060196,0.070587831535732
