,w,w_q10,w_med,w_q90
FLCOX,1.6653345369377348e-16,0.0,5.89275527448554e-17,0.5177880034706479
FSKAX,1.0,2.220446049250313e-16,0.2580566161882245,0.9999999999999994
FXNAX,1.3877787807814457e-17,0.0,0.6558783611252272,0.9117760936917321
FTIHX,0.0,0.0,0.0,1.8743518097069546e-15
