,w,w_q10,w_med,w_q90
FLCOX,0.0,0.0,0.06181430960431342,1.0
FSKAX,0.9249559053671186,0.0,0.32644655841966574,1.0
FXNAX,8.532198275529857e-18,0.0,0.0,0.28975567023691773
FTIHX,0.07504409463288164,0.0,5.898059818321144e-17,0.4290330888351262
