,w,w_q10,w_med,w_q90
FLCOX,1.6653345369377348e-16,0.0,0.034606592380802714,1.0
FSKAX,0.9999999999999999,0.0,0.40844718128296253,1.0
FXNAX,7.632783294297951e-17,0.0,8.326672684688674e-17,0.7316980148604061
FTIHX,5.898059818321144e-17,0.0,0.0,1.0561386369106038e-15
