,w,w_q10,w_med,w_q90
FLCOX,0.07815353179589876,0.0,0.09126840730402294,0.9436204967186669
FSKAX,0.24951227775185109,0.0,1.3323976491075914e-16,0.8090618225864269
FXNAX,0.0,0.0,2.098132374084424e-17,0.3119001442074186
FTIHX,0.6723341904522513,0.0,0.4345820551111431,1.0
