target_sd,er,CASH,FLCOX,FSKAX,FXNAX,FTIHX
0.012119725279737465,0.04371815409376354,0.9951945962889912,0.004805403711008824,0.0,3.060418009087932e-17,0.0
0.0165575672002952,0.054505013971004684,0.8850092535738227,0.1149907464261774,0.0,4.903281825753032e-18,0.0
0.02099540912085293,0.06055070292266765,0.8368747543534621,0.12661266820950237,0.03549281929273936,0.0,0.0010197581442959343
0.025433251041410667,0.06626907767619271,0.7958604659657825,0.11980673452595449,0.07928123452552695,0.0,0.005051564982736082
0.029871092961968403,0.07184234020863532,0.7558869735900015,0.11317351970466466,0.12195844801462545,0.0,0.008981058690708576
0.034308934882526135,0.07733222367606277,0.7165115111699999,0.10663952716550858,0.1639972023168646,8.154370053195205e-18,0.012851759347627023
0.03874677680308387,0.08276941131810625,0.6775140036060656,0.10016824645113517,0.20563243822723842,1.6981390654612436e-17,0.01668531171556076
0.043184618723641606,0.08817103821089159,0.6387715410546474,0.09373932524764898,0.2469953419950407,2.0541705761314238e-17,0.02049379170266286
0.04762246064419934,0.0935474793226388,0.6002097305185612,0.08734034311573215,0.2881654144035547,1.7283752507789425e-18,0.024284511962152013
0.05206030256475707,0.09890540477714603,0.5617807113081885,0.08096343216746983,0.3291936753051355,2.915526943682582e-17,0.028062181219206065
0.0564981444853148,0.10424930704525256,0.5234522825827326,0.07460317153801084,0.3701145834233361,1.2627860141775621e-18,0.031829962455920485
0.06093598640587254,0.10958232681931936,0.4852019001520815,0.0682558917564716,0.4109521447575471,0.0,0.0355900633339
0.06537382832643027,0.11490672801629041,0.4470133413076399,0.06191883871731393,0.4517237280926373,7.665776424209045e-18,0.03934409188240873
0.069811670246988,0.1202241849168817,0.4088745838375205,0.05559007075187022,0.49244211966181944,2.9040806799254096e-17,0.04309322574878978
0.07424951216754574,0.1255359630328738,0.3707765471820411,0.04926809590415144,0.5331170002193508,1.3649340200970875e-17,0.046838356694456684
0.07868735408810347,0.13084303705273279,0.33271225243688846,0.04295171130164092,0.5737558658840454,0.0,0.05058017037742526
0.08312519600866121,0.13614617006938595,0.29467623339348614,0.03663998124473033,0.6143645758517797,2.6762248332419097e-17,0.05431920951000383
0.08756303792921895,0.1414459681837698,0.2566641320129124,0.030332231743078832,0.654947752718222,0.0,0.058055883525786806
0.09200087984977667,0.146742918992327,0.2186724647252504,0.024027820461417528,0.6955091504625746,2.1080365530293342e-17,0.06179056435075757
0.09643872177033441,0.15203741925852954,0.18069835811773388,0.01772637666590064,0.7360517346661049,0.0,0.06552353055026064
0.10087656369089214,0.15732979516314405,0.14273948496131073,0.011427489486046098,0.7765780643476747,1.47050459105462e-17,0.06925496120496853
0.10531440561144988,0.16262031735459906,0.1047939060643056,0.005130807374800034,0.8170901883777855,1.6651194698203182e-18,0.07298509818310901
0.10975224753200762,0.1679091966840866,0.06655958224442629,9.84466652080758e-16,0.856882098659389,3.755029755628083e-17,0.07655831909618376
0.11419008945256534,0.1731960548483886,0.027015575942757476,1.2894754425436348e-17,0.8935405382499386,5.0411124341712705e-17,0.07944388580730395
0.11862793137312308,0.1781130205719734,2.4825341532472723e-17,2.6410844075308435e-17,0.9999999999999998,0.0,1.52655665885959e-16
