,b,b_se,m
CASH,0.042271311045125874,0.011498687760940924,0.04324771750749079
FLCOX,0.1283309844211689,0.0653034073369686,0.14114512937220125
FSKAX,0.158869994424954,0.0713496335107259,0.17811302057197342
FXNAX,0.029077182862737822,0.033419272700060926,0.03068552513110201
FTIHX,0.14274844258571057,0.0818654795012865,0.16208281417330594
