,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.00032570035193768305,0.00029621636010763216,0.0006064836712146484,0.0004698987258603535,0.0009380511928340632
FLCOX,0.00029621636010763216,0.011630296058049754,0.011745378465241048,0.0023542803612573034,0.012222197965927082
FSKAX,0.0006064836712146484,0.011745378465241048,0.01526001951804975,0.004306359301113299,0.014414087774695323
FXNAX,0.0004698987258603535,0.0023542803612573034,0.004306359301113299,0.0033699543123121415,0.005248338039593808
FTIHX,0.000938051192834063,0.012222197965927087,0.014414087774695323,0.005248338039593808,0.02088373346996029
