,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.00013468314951016661,0.00012956574757579489,0.0004921633196814514,0.00033812457760061407,0.000377801462249577
FLCOX,0.00012956574757579489,0.007402546525122821,0.00762484914357609,0.00232830695474157,0.007411669572668024
FSKAX,0.0004921633196814513,0.00762484914357609,0.01008805792563467,0.003351167625921986,0.008423148712187674
FXNAX,0.00033812457760061407,0.0023283069547415697,0.003351167625921986,0.002293912745527184,0.004528912830330325
FTIHX,0.00037780146224957714,0.007411669572668021,0.008423148712187674,0.004528912830330326,0.014930963912491116
