,b,b_se,m
CASH,0.027639866161257732,0.007572973239185576,0.028192818765719885
FLCOX,0.10256643213717073,0.03103323749650636,0.11447292502520168
FSKAX,0.133119611288353,0.035436718152203346,0.15113639157553327
FXNAX,0.01033419552805848,0.021835572626628108,0.012091693194490327
FTIHX,0.08094366475063969,0.04077407870356828,0.0956913473530725
