,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,0.00034438013129563385,0.00033948254843847936,0.0007180458317924959,0.0004891034602148351,0.0010572873827266042
FLCOX,0.00033948254843847936,0.014529736855083774,0.0151571062233787,0.0026586360434386882,0.015016329446338177
FSKAX,0.0007180458317924959,0.0151571062233787,0.020376357029121363,0.005027966276210863,0.018312005799355564
FXNAX,0.0004891034602148351,0.0026586360434386882,0.005027966276210863,0.0034577669232663294,0.005835392228818153
FTIHX,0.0010572873827266042,0.015016329446338177,0.018312005799355564,0.005835392228818153,0.025335375362904124
