,CASH,FLCOX,FSKAX,FXNAX,FTIHX
CASH,8.30893266853248e-06,-0.00022834170638051245,-4.348922391582703e-05,7.235871944001215e-05,-5.420109737365571e-06
FLCOX,-0.00022834170638051245,0.0073598384502724535,0.0024923905847877076,-0.0018975607770777667,0.00047444487311504904
FSKAX,-4.348922391582704e-05,0.0024923905847877076,0.002395991289556499,-0.00015462256325484303,0.0005560304184001118
FXNAX,7.235871944001215e-05,-0.0018975607770777667,-0.00015462256325484303,0.0008704592333061034,0.000523420273459279
FTIHX,-5.420109737365573e-06,0.00047444487311504925,0.0005560304184001119,0.000523420273459279,0.0019161452418023765
